Product Name,Price (GBP),Category,Unit,Stock Quantity,Barcode,Expiry Date,Batch Number,Description
Tilda Basmati Rice 5kg,12.99,Grains,bag,50,5011157100012,2026-12-31,BATCH001,Premium basmati rice
Palm Oil 1L,6.50,Oils,bottle,30,5012345678901,2026-06-15,PO2026A,Red palm oil
Egusi Seeds 500g,8.99,Seeds,pack,25,,2026-09-30,,Ground melon seeds
Stockfish (Medium),15.00,Fish,each,20,,,SF001,Norwegian stockfish
Plantain (Ripe),1.50,Produce,each,100,,,,Fresh ripe plantain
Maggi Cubes (Box),4.99,Seasonings,box,45,5012345678902,2027-03-01,MG2026,Seasoning cubes
Gari (White) 1kg,3.50,Grains,bag,60,,,GW001,Cassava flakes
Pounded Yam Flour 2kg,7.99,Flour,bag,35,5012345678903,2026-08-15,PYF001,Instant pounded yam
Dried Crayfish 200g,9.50,Seafood,pack,40,,2026-11-30,,Ground crayfish
Suya Spice 100g,3.99,Spices,pack,55,,2027-01-15,,Traditional suya seasoning
